used_as_shots_for_fold,sourced_from_fold,level,sentence,codes
A,B,1,سكر,"[""O"", ""WC"", ""S1-1"", ""V1-4""]"
A,B,2,شكل ١-١,"[""WC""]"
A,B,3,صنعاء – اليمن,"[""M3-1""]"
A,B,4,للشّاعرِ مُحَمَّدِ الفاضِلِ,"[""M4-2""]"
A,B,5,*الصديقة: أ. أ. م. ع.,"[""O""]"
A,B,6,انتبه!,"[""M6-1""]"
A,B,7,قبلَ النَّومِ، أنظُرُ إلى السَّمَاء,"[""S7-1""]"
A,B,8,والعنكبوت تفضله بعض مناطق أمريكا الجنوبية!,"[""M8-3""]"
A,B,9,اقتراحات سبعة لقضاء إجازة مليئة بالسعادة والإفادة.,"[""V9-1""]"
A,B,10,ولكنه ما زال غاضباً مني,"[""S10-2"", ""S10-1""]"
A,B,11,وهو من أخلص رجالنا، وعلى اتصال دائم بنا بالرسائل التي يبعث بها عن طريق الحمام الزاجل..,"[""WC""]"
A,B,12,العصر الجاهلي,"[""V12-1""]"
A,B,13,"ولما رأى الحمار والدموع تكاد تسقط من عينيه من شدة الإجهاد قال له: ""استرح..","[""V13-1""]"
A,B,14,4 فَدَخَلَ عَلَى هَاجَرَ فَحَبِلَتْ. وَلَمَّا رَأَتْ أَنَّهَا حَبِلَتْ صَغُرَتْ مَوْلاَتُهَا فِي عَيْنَيْهَا.,"[""V14-1""]"
A,B,15,ولتنتمي إلى حُمَيَّا اللحظة الآسرة.,"[""V15-1"", ""C15-1""]"
A,B,16,وتماشيًا مع الفلسفة الاقتصادية السائدة آنذاك — المذهب المركنتلي (التجاري) — كانت هذه التجارة برمتها تُدار في شكل احتكار كي تعود بأعلى الأرباح على المملكة الفرنسية ومن ينوبون عنها.,"[""V16-2""]"
A,B,17,فـلـهـا هـبـابٌ فـي الـزِّمــامِ كـأنَّـها صهباءُ خَفَّ مع الجنوبِ جَـهَامُـها,"[""V17""]"
A,B,18,عُلِّقْتُهَا عَرَضَاً وَاقْتُـلُ قَوْمَهَا زَعْمَاً لَعَمْرُ أَبِيكَ لَيْسَ بِمَزْعَـمِ,"[""V18""]"
A,B,19,عَشَـوْزَنَةً إِذَا انْقَلَبَتْ أَرَنَّـتْ تَشُـجُّ قَفَا المُثَقِّـفِ وَالجَبِيْنَـا,"[""V19"", ""C-O""]"
B,A,1,كرة ,"[""O"", ""WC"", ""S1-1"", ""V1-3""]"
B,A,2,ضارِبٌ,"[""WC""]"
B,A,3,مأرب – اليمن,"[""M3-1""]"
B,A,4,نحن نفتح في التاسعة صباحاً .,"[""M4-3""]"
B,A,5,هُما جَنَّتي وَحَياتي، ,"[""S5-2""]"
B,A,6,أنرت الطريق ,"[""M6-1""]"
B,A,7,أُرَكِّبُ الكَلِمَةَ مَعَ مَعْناها المُناسِبِ:,"[""S7-1""]"
B,A,8,أُسَمِّعَ الآياتِ الكَريمَةَ تَسْميعًا مُتْقَنًا.,"[""S8-1"", ""V8-1""]"
B,A,9,رَحْمَنُ يا رَحْمَن,"[""S9-1""]"
B,A,10,توجد كنيسة سيدة الجبل في …….  (أ) عنجرة  (ب) الكرك  (ج) مأدبا,"[""M10-1""]"
B,A,11,وبعد أن أغلق صندوقَه بعنايةٍ في مكانه المُعتاد، وقف لبضعِ ثوانٍ عند الباب المفتوح يَنظر منه إلى الحديقة.,"[""WC""]"
B,A,12,كانت السيدة عائشة رضي الله عنها تؤم النساء، وتقف معهن في الصف.,"[""S12-1"", ""V12-1""]"
B,A,13,وهذا لأننا نفترض أن الإعلان يلعب على وتر الإقناع، ,"[""V13-1""]"
B,A,14,وغزوةُ الفتح انتهت بفارسٍ,"[""V14-1""]"
B,A,15,وبعد ستة أعوام من تولِّيه الخِلافة، عاد المأمُون إلى العاصِمة بَغْدَاد، وأعاد لِباس ورايات بني العبَّاس المُعتاد والمُكوَّن من السَّواد، وبدأ حُكمهُ بنفسِه دون أي تأثير عليه مثل الفَضْل.,"[""V15-1""]"
B,A,16,-هرمون يعمل في مكان إفرازه  (أ) الادرينالين  (ب) الجاسترين  (ج) الانسولين,"[""V16-2""]"
B,A,17,تنتج جزيئات ATP في جميع المراحل التالية ما عدا :  (أ) الفسفرة التأكسدية  (ب) أكسدة البيروفيت  (ج) التحلل الغلايكولي  (د) حلقة كربس,"[""V17""]"
B,A,18,يستكمل المخطط الذهني لمجالات التحديات المائية لمؤشر كفاية المياه.,"[""V18""]"
B,A,19,وَكَأَنَّمَا أَقِصَ الإِكَامَ عَشِيَّـةً بِقَرِيبِ بَيْنَ المَنْسِمَيْـنِ مُصَلَّـمِ,"[""V19""]"
